DID,DateofSale,VRM,Make,Model,PostCode,Sold Price,Prep Cost,Chassis Margin,Value added Products,Finance Comission,Delivered
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
#N/A,,,,,,,,,,,
